Generated by pymatgen.io.lammps.data.LammpsData

380  atoms

  2  atom types

0.000000 8.428300  xlo xhi
0.000000 14.598200  ylo yhi
0.000000 49.476269  zlo zhi

Masses

1  26.981539
2  15.999400

Atoms

1    1 0.0000 0.114574  2.433038  5.801241
2    1 0.0000 0.114574  7.299100  5.801241
3    1 0.0000 0.114574 12.165162  5.801241
4    1 0.0000 4.328724  0.000000  5.801241
5    1 0.0000 4.328724  4.866062  5.801241
6    1 0.0000 4.328724  9.732124  5.801241
7    1 0.0000 2.924005  2.433038  7.491697
8    1 0.0000 2.924005  7.299100  7.491697
9    1 0.0000 2.924005 12.165162  7.491697
10   1 0.0000 7.138155  0.000000  7.491697
11   1 0.0000 7.138155  4.866062  7.491697
12   1 0.0000 7.138155  9.732138  7.491697
13   1 0.0000 1.519294  0.000000  7.982848
14   1 0.0000 1.519294  4.866062  7.982848
15   1 0.0000 1.519294  9.732124  7.982848
16   1 0.0000 5.733444  2.433038  7.982848
17   1 0.0000 5.733444  7.299100  7.982848
18   1 0.0000 5.733444 12.165162  7.982848
19   1 0.0000 0.114574  2.433038  9.673353
20   1 0.0000 0.114574  7.299100  9.673353
21   1 0.0000 0.114574 12.165162  9.673353
22   1 0.0000 4.328724  0.000000  9.673353
23   1 0.0000 4.328724  4.866062  9.673353
24   1 0.0000 4.328724  9.732124  9.673353
25   1 0.0000 2.924005  2.433038 10.164553
26   1 0.0000 2.924005  7.299100 10.164553
27   1 0.0000 2.924005 12.165162 10.164553
28   1 0.0000 7.138155  0.000000 10.164553
29   1 0.0000 7.138155  4.866062 10.164553
30   1 0.0000 7.138155  9.732138 10.164553
31   1 0.0000 1.519294  0.000000 11.855009
32   1 0.0000 1.519294  4.866062 11.855009
33   1 0.0000 1.519294  9.732124 11.855009
34   1 0.0000 5.733444  2.433038 11.855009
35   1 0.0000 5.733444  7.299100 11.855009
36   1 0.0000 5.733444 12.165162 11.855009
37   1 0.0000 0.114574  2.433038 12.346209
38   1 0.0000 0.114574  7.299100 12.346209
39   1 0.0000 0.114574 12.165162 12.346209
40   1 0.0000 4.328724  0.000000 12.346209
41   1 0.0000 4.328724  4.866062 12.346209
42   1 0.0000 4.328724  9.732124 12.346209
43   1 0.0000 2.924005  2.433038 14.036714
44   1 0.0000 2.924005  7.299100 14.036714
45   1 0.0000 2.924005 12.165162 14.036714
46   1 0.0000 7.138155  0.000000 14.036714
47   1 0.0000 7.138155  4.866062 14.036714
